TIME;2004;;2006;;2008;;2010;;2012;;2014;;2016;;2018;
GEO (Labels);;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);9.540.000;;11.410.000;;12.090.000;;12.340.000;;12.880.000;;14.940.000;;15.140.000;;16.900.000;
European Union - 28 countries (2013-2020);11.580.000;;14.860.000;;14.580.000;;14.150.000;;15.020.000;;17.260.000;;17.710.000;;19.820.000;
Belgium;1.332.559;;631.509;;1.074.910;;716.165;;651.775;;1.395.458;;715.623;;745.450;
Bulgaria;44.246;;25.864;;72.972;;59.950;;99.922;;196.124;;213.449;;260.939;
Czechia;169.315;;214.116;;232.260;;253.923;;325.623;;347.929;;430.416;;565.453;b
Denmark;53.996;;53.779;;72.692;;78.548;;104.816;;98.820;;114.585;;105.457;
Germany (until 1990 former territory of the FRG);1.138.544;;1.413.697;;1.936.296;;2.288.466;;2.530.498;;2.704.367;;2.734.235;;2.864.626;
Estonia;74.358;;89.683;;93.713;;25.390;;22.706;;32.966;;42.836;;52.389;
Ireland;309.155;;358.202;;39.128;;335.134;;121.812;;183.148;;148.536;;158.578;
Greece;355.234;;755.493;;672.636;;226.992;;133.232;;192.248;;256.905;;203.069;p
Spain;1.205.087;;1.616.607;;1.903.919;;1.465.233;;1.142.921;;1.105.552;;731.064;;815.282;
France;1.252.500;;1.166.210;;1.551.260;;1.436.697;;1.646.794;;1.729.628;;1.955.098;;2.058.723;
Croatia;63.232;;186.368;;29.505;;24.807;;39.186;;49.116;;65.131;;71.670;
Italy;1.394.288;;1.564.187;;1.608.694;;2.141.461;;2.781.865;;3.215.966;;3.931.868;;4.388.081;
Cyprus;76.365;;56.708;;68.365;;83.994;;4.243;;5.242;;6.222;;8.352;
Latvia;720;;12.122;;8.556;;8.116;;21.576;;23.397;;61.891;;89.055;
Lithuania;17.687;;29.869;;30.555;;39.960;;50.638;;73.131;;88.744;;102.441;
Luxembourg;17.796;;32.195;;19.562;;27.304;;26.329;;26.325;;28.860;;30.005;
Hungary;125.321;;146.575;;150.309;;151.480;;185.787;;243.630;;221.334;;207.563;
Malta;223;;673;;2.370;;3.520;;4.359;;5.660;;8.657;;7.201;
Netherlands;373.761;;377.778;;409.640;;518.143;;574.632;;570.769;;521.658;;562.236;
Austria;589.335;;350.081;;640.521;;564.604;;357.595;;371.417;;371.236;;380.208;
Poland;195.685;;325.373;;407.167;;863.236;;969.653;;1.188.512;;1.296.322;;1.775.671;
Portugal;234.411;;996.201;;193.001;;165.192;;176.396;;232.192;;307.204;;370.413;bp
Romania;190.688;s;580.044;;418.975;;407.225;;488.164;;345.617;;280.235;;301.379;
Slovenia;38.289;;43.486;;47.275;;56.280;;47.777;;61.829;;59.273;;69.460;
Slovakia;42.470;;75.298;;94.192;;111.327;;108.140;;124.269;;148.697;;192.170;
Finland;79.235;;125.325;;87.033;;71.352;;91.349;;116.859;;87.361;;120.091;
Sweden;165.970;;188.173;;223.251;;218.839;;175.836;;301.187;;315.976;;396.061;
Iceland;3.932;;:;;5.481;;4.358;;6.427;;5.553;;7.975;;10.966;
Liechtenstein;:;;:;;241;;365;;173;;207;;336;;268;
Norway;56.629;;85.475;;92.152;;88.845;;157.859;;244.118;;244.217;;275.537;
United Kingdom;2.042.781;;3.447.447;;2.488.759;;1.809.985;;2.133.235;;2.320.533;;2.568.031;;2.922.915;
Montenegro;:;;:;;:;;:;;130;;4.104;;2.975;;3.269;p
North Macedonia;:;;:;;1.194;;4.031;;10.860;;8.792;;24.591;;66.671;
Albania;:;;:;;:;;:;;:;;:;;:;;:;
Serbia;:;;:;;:;;6.820;;17.854;;27.553;;55.076;;56.220;
Turkey;204.385;;0;;405.008;;217.310;;214.580;;223.381;;658.164;;725.276;
Bosnia and Herzegovina;:;;:;;:;;:;;1.867;;27.986;;13.626;;20.290;
Kosovo (under United Nations Security Council Resolution 1244/99);:;;:;;:;;:;;877;;4.206;;4.625;;38.559;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;
bp;break in time series, provisional;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;
p;provisional;;;;;;;;;;;;;;;
s;Eurostat estimate;;;;;;;;;;;;;;;
